Date,Number of billionaires in dollars,Total wealth in billion of dollars,Total wealth in % of global private wealth,Number of billionaires per 100 million inhabitants,Share of the top 1/(20 million) highest wealth holders in global private wealth,Share of the top 1/(100 million) highest wealth holders in global private wealth,meanage,minwealth,maxwealth,meanwealth,Top 100 minwealth,Top 100 meanwealth,Ratio,World Population (UN official population series),%Pop Adult (UN official series),World adult population (UN official population series),Top 1/20M,Min top 1/20M,Mean top 1/20M,Ratio,Top 1/100M,Min top 1/100M,Mean top 1/20M,Ratio,World GDP (current $ market exchange rate W1),World GDP (current $ PPP W2),World GDP (constant 2012 $ market exchange rate W4),World GDP (constant 2012 $ PPP W5),Price index PPP,Price index MER,World GDP (current market exchange rate W6),World GDP (constant 2012 PPP W7),Wealth/Income Ratio (Table S121 for 1990-2000-2010 + linear interpolations),World wealth (current $ market exchange rate W1),World Wealth (current millions $ PPP),World GDP per capita (current PPP $),World wealth per capita (current PPP $),World wealth (constant 2012 PPP W7),World GDP per capita (constant 2012 PPP W7),World wealth per capita (constant 2012 PPP W7)
2013-12-31,1426.0,5400.0,1.507061528,30.49610809,0.916113837,0.422038768,,1.0,73.0,3.786816269,10.6,24.38,2.3,7130.013742,65.58201261,4676.006512,233.8003256,5.2,14.04,2.7,46.76006512,15.4,32.34,2.1,77054.63477,89719.05754,75841.17596,88306.159,101.6,101.6,63382.41681,73588.46583,4.437471371,307734.9622,358313.1743,19187.11133,76628.03152,293892.0393,15737.46008,62851.07572
2012-12-31,1226.0,4600.0,1.352583159,26.6645297,0.826045361,0.373139967,,1.0,69.0,3.752039152,9.0,19.8,2.2,7052.135305,65.19824503,4597.868456,229.8934228,4.7,12.22,2.6,45.97868456,13.8,27.6,2.0,73477.57095,85404.21883,73477.57095,85404.21883,100.0,100.0,56521.20842,71170.18236,4.424579693,292596.6315,340089.9951,18574.74168,73966.88234,283408.3292,15478.9514,61639.06862
2011-12-31,1206.0,4500.0,1.394091456,26.68032255,0.805198261,0.361849097,,1.0,74.0,3.731343284,8.8,18.48,2.1,6974.036375,64.81447744,4520.185233,226.0092616,4.6,11.5,2.5,45.20185233,13.6,25.84,1.9,70066.56314,81296.89269,71187.62815,82597.64298,98.42519685,98.42519685,50402.73253,68831.36915,4.411688015,278200.6352,322790.8745,17985.30116,71410.9838,273296.2737,15227.55498,60461.29962
2010-12-31,1011.0,3567.8,1.179112696,22.75453559,0.683854227,0.30689109,62.7677,1.0,53.5,3.528981,7.2,14.434,2.004722222,6895.889018,64.43070985,4443.070245,222.1535123,4.0,9.314414,2.3286035,44.43070245,12.2,20.9,1.713114754,63141.05247,76430.87321,65903.46339,79774.71166,95.80839795,95.80839795,47674.33596,66478.92638,4.398796337,249970.1673,302583.4606,17202.26532,68102.33554,263184.5321,14962.38473,59234.83483
2009-12-31,793.0,2414.7,0.865596999,18.16078158,0.534994471,0.243309636,63.6719,1.0,40.0,3.045019,5.0,10.501,2.1002,6817.737123,64.04694227,4366.552159,218.327608,3.0,6.83578,2.278593333,43.66552159,9.0,15.54419,1.727132222,57859.92518,72083.60114,61087.19235,76104.22576,94.71694958,94.71694958,41650.06212,63420.18813,4.3,223917.9105,278963.5364,16508.12781,63886.45463,245436.1281,14524.08807,56208.22084
2008-12-31,1125.0,4381.0,1.412107566,26.22971643,0.792073766,0.35058593,61.3425,1.0,62.0,3.894222,8.9,17.214,1.934157303,6739.610289,63.63911659,4289.02845,214.4514225,4.7,11.45888,2.438059574,42.8902845,16.0,25.35952,1.58497,61198.69648,71816.08505,65299.31268,76628.11894,93.72027663,93.72027663,41778.82012,63856.76578,4.8,264378.3688,310245.4874,16744.13819,72334.67696,275861.2282,14888.39874,64317.88257
2007-12-31,946.0,3452.0,1.193623206,22.46367025,0.695019593,0.302290289,62.3588,1.0,56.0,3.649049,7.3,14.288,1.957260274,6661.63746,63.21635151,4211.244153,210.5622076,4.1,9.545972,2.328285854,42.11244153,13.0,20.75952,1.596886154,55793.8512,67882.38415,60848.78206,74032.53782,91.69263428,91.69263428,40765.10785,61693.78151,4.733734945,237701.9728,289203.4926,16119.31811,68674.1215,262837.8085,14649.77552,62413.3389
2006-12-31,793.0,2645.5,1.004759507,19.18155155,0.611148608,0.2684973,63.2523,1.0,50.0,3.336066,6.0,11.498,1.916333333,6583.958568,62.79171787,4134.180689,206.7090344,3.3,7.784541,2.358951818,41.34180689,10.7,17.1,1.598130841,49484.76932,62678.9348,55532.69175,70339.41986,89.10925755,89.10925755,39446.3385,58616.18322,4.66746989,207871.8037,263296.8368,15161.1503,63687.79128,246230.3432,14178.428,59559.64718
2005-12-31,691.0,2236.2,0.943116253,17.02566949,0.603059188,0.27977787,63.8072,1.0,46.5,3.236179,5.0,10.419,2.0838,6506.649175,62.37584729,4058.577553,202.9288777,2.9,7.046306,2.42976069,40.58577553,9.0,16.345,1.816111111,45673.09124,57257.36225,52908.64048,66328.09631,86.32444685,86.32444685,36726.64612,55273.4136,4.601204834,189136.1234,237107.5668,14107.74132,58421.34681,228891.8681,13618.91275,56397.06648
2004-12-31,587.0,1917.2,0.885066274,14.73158611,0.600606727,0.283847166,64.0411,1.0,46.6,3.266099,4.5,9.673,2.149555556,6429.757631,61.97178277,3984.635432,199.2317716,2.6,6.530151,2.511596538,39.84635432,8.4,15.43077,1.836996429,42268.08763,53073.48363,50589.46588,63522.13549,83.55116405,83.55116405,34041.23839,52935.1129,4.534939779,172514.9088,216616.5469,13319.53313,54362.95255,216051.7943,13284.80706,54221.21998
